window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,12Oclock,latent,0.5755027985076775,0.9433056694330568,0.792020797920208,0.2258032943494582,0.8586141385861414,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.2990679511616353,0.2160157304317659,phase9,ridge,320.0,480.0
320_480nm,12Oclock,latent,0.5755027985076775,0.9433056694330568,0.792020797920208,0.2258032943494582,0.8586141385861414,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.3167820119215183,0.2572606084135899,phase9,ridge,360.0,410.0
320_480nm,12Oclock,latent,0.5755027985076775,0.9433056694330568,0.792020797920208,0.2258032943494582,0.8586141385861414,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.6227533505088237,0.5499666435304252,phase9,ridge,300.0,600.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,total,320_480nm,1.0638375865322496,0.7173996101414436,phase9,ridge,320.0,480.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.5780978606328051,0.394359189468975,phase9,ridge,320.0,480.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,1.4173949800698178,0.992555959717762,phase9,ridge,320.0,480.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.327269840044819,0.2938015202976479,phase9,ridge,360.0,410.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.1998401812827553,0.1527497259007045,phase9,ridge,360.0,410.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.4999318028593595,0.4128162356664825,phase9,ridge,360.0,410.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.367014915186688,0.2955387561929086,phase9,ridge,300.0,600.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.2706795697275727,0.2384931490088354,phase9,ridge,300.0,600.0
320_480nm,6Oclock,chrom,0.760523690295844,0.1381861813818618,0.0931906809319068,1.135283948055131,0.1412858714128587,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.5029040373434684,0.4009151605393646,phase9,ridge,300.0,600.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,total,320_480nm,1.9049601541620296,1.2777682239828172,phase9,ridge,320.0,480.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,1.414206131252845,0.9582079886232884,phase9,ridge,320.0,480.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,1.601297185083108,1.069690410360655,phase9,ridge,320.0,480.0
