PC1,PC2,matrix,kind,modality,window,dose_id
-0.3846112881182893,-0.3745249788370532,chrom,6Oclock,chrom,320_480nm,dose_2
0.37934867336400685,1.0713522358306389,chrom,6Oclock,chrom,320_480nm,dose_3
1.8469954394922818,0.6069352413313551,chrom,6Oclock,chrom,320_480nm,dose_4
0.6762888344656975,-1.4806111509330397,chrom,6Oclock,chrom,320_480nm,dose_5
0.5735441448963914,-0.03367134191569407,chrom,6Oclock,chrom,320_480nm,dose_6
1.5870959377413845,2.400026188868327,reflectance,6Oclock,dad,320_480nm,dose_1
1.460478728827147,1.311293771514587,reflectance,6Oclock,dad,320_480nm,dose_2
-3.1552418703623526,1.3284956871923352,reflectance,6Oclock,dad,320_480nm,dose_3
-2.6095546542682033,-0.5618859535005493,reflectance,6Oclock,dad,320_480nm,dose_4
-0.5619692632202216,-3.042115080123836,reflectance,6Oclock,dad,320_480nm,dose_5
3.2791911212822455,-1.435814613950864,reflectance,6Oclock,dad,320_480nm,dose_6
-3.4546474023942473,-0.2374133553633988,dad,6Oclock,dad,320_480nm,dose_1
0.04898657236436473,0.5962618094873231,dad,6Oclock,dad,320_480nm,dose_2
0.46044902356038114,-0.6956386882347688,dad,6Oclock,dad,320_480nm,dose_3
1.7376520419098667,-0.3643336573901077,dad,6Oclock,dad,320_480nm,dose_4
0.32547390690384254,0.9242497285444308,dad,6Oclock,dad,320_480nm,dose_5
0.8820858576557917,-0.22312583704347866,dad,6Oclock,dad,320_480nm,dose_6
1.5870959377413845,2.400026188868327,reflectance,6Oclock,latent,320_480nm,dose_1
1.460478728827147,1.311293771514587,reflectance,6Oclock,latent,320_480nm,dose_2
-3.1552418703623526,1.3284956871923352,reflectance,6Oclock,latent,320_480nm,dose_3
-2.6095546542682033,-0.5618859535005493,reflectance,6Oclock,latent,320_480nm,dose_4
-0.5619692632202216,-3.042115080123836,reflectance,6Oclock,latent,320_480nm,dose_5
3.2791911212822455,-1.435814613950864,reflectance,6Oclock,latent,320_480nm,dose_6
-3.2829976457490218,-0.22496141163314398,latent,6Oclock,latent,320_480nm,dose_1
-0.2008985896513215,0.46846667874438924,latent,6Oclock,latent,320_480nm,dose_2
