dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,456.0,0.1913333634535471
dose_1,12Oclock,320_480nm,456.5,0.1914064735174178
dose_1,12Oclock,320_480nm,457.0,0.1973504622777303
dose_1,12Oclock,320_480nm,457.5,0.199207693338394
dose_1,12Oclock,320_480nm,458.0,0.1927778720855712
dose_1,12Oclock,320_480nm,458.5,0.1948288381099701
dose_1,12Oclock,320_480nm,459.0,0.196693554520607
dose_1,12Oclock,320_480nm,459.5,0.1988232384125391
dose_1,12Oclock,320_480nm,460.0,0.1978434920310973
dose_1,12Oclock,320_480nm,460.5,0.1936053186655044
dose_1,12Oclock,320_480nm,461.0,0.1955748945474623
dose_1,12Oclock,320_480nm,461.5,0.1995976318915685
dose_1,12Oclock,320_480nm,462.0,0.1968172242244084
dose_1,12Oclock,320_480nm,462.5,0.199731151262919
dose_1,12Oclock,320_480nm,463.0,0.2032086749871571
dose_1,12Oclock,320_480nm,463.5,0.2039369046688079
dose_1,12Oclock,320_480nm,464.0,0.2036306460698445
dose_1,12Oclock,320_480nm,464.5,0.2094473342100778
dose_1,12Oclock,320_480nm,465.0,0.2051664193471272
dose_1,12Oclock,320_480nm,465.5,0.2083350668350855
dose_1,12Oclock,320_480nm,466.0,0.2071909556786219
dose_1,12Oclock,320_480nm,466.5,0.2068788111209869
dose_1,12Oclock,320_480nm,467.0,0.2034002741177877
dose_1,12Oclock,320_480nm,467.5,0.206558659672737
dose_1,12Oclock,320_480nm,468.0,0.2097904880841572
dose_1,12Oclock,320_480nm,468.5,0.2105744133392969
dose_1,12Oclock,320_480nm,469.0,0.2140888273715973
dose_1,12Oclock,320_480nm,469.5,0.2204218904177347
dose_1,12Oclock,320_480nm,470.0,0.2169030060370762
dose_1,12Oclock,320_480nm,470.5,0.217414711912473
dose_1,12Oclock,320_480nm,471.0,0.2116728077332178
dose_1,12Oclock,320_480nm,471.5,0.213735948006312
dose_1,12Oclock,320_480nm,472.0,0.2103122373421986
